Data,Volume_Total,Volume_P2,Volume_P3
2025-09-01,874,39,125
2025-09-02,1153,296,171
2025-09-03,1073,41,114
2025-09-04,1280,187,151
2025-09-05,1030,56,149
2025-09-06,455,42,63
2025-09-07,369,34,62
2025-09-08,511,55,167
2025-09-09,602,57,154
2025-09-10,678,79,276
2025-09-11,522,42,174
2025-09-12,635,58,259
2025-09-13,566,23,110
2025-09-14,492,21,72
2025-09-15,673,96,198
2025-09-16,597,42,174
2025-09-17,593,52,187
2025-09-18,600,66,165
2025-09-19,679,70,164
2025-09-20,717,73,168
2025-09-21,681,46,105
2025-09-22,1431,85,849
2025-09-23,893,250,240
2025-09-24,674,180,182
2025-09-25,628,66,155
2025-09-26,654,30,243
2025-09-27,564,22,109
2025-09-28,505,20,72
2025-09-29,659,39,160
2025-09-30,773,62,191
2025-10-01,733,47,141
2025-10-02,885,110,223
2025-10-03,1063,109,323
2025-10-04,740,37,130
2025-10-05,553,13,103
2025-10-06,723,27,236
2025-10-07,1098,272,162
2025-10-08,999,67,204
2025-10-09,1074,93,174
2025-10-10,1049,140,219
2025-10-11,540,12,98
2025-10-12,499,18,72
2025-10-13,627,72,100
2025-10-14,777,100,137
2025-10-15,709,117,153
2025-10-16,936,386,149
2025-10-17,533,50,121
2025-10-18,615,42,99
2025-10-19,531,31,101
2025-10-20,592,73,129
2025-10-21,711,77,190
2025-10-22,857,143,182
2025-10-23,756,130,182
2025-10-24,1022,209,299
2025-10-25,599,24,74
2025-10-26,546,31,123
2025-10-27,568,48,120
2025-10-28,678,68,181
2025-10-29,616,35,185
2025-10-30,624,43,186
2025-10-31,764,79,298
2025-11-01,574,58,99
2025-11-02,556,44,95
2025-11-03,564,84,119
2025-11-04,546,69,133
2025-11-05,1273,684,225
2025-11-06,529,58,140
2025-11-07,630,93,165
2025-11-08,590,50,128
2025-11-09,519,35,69
2025-11-10,665,64,209
2025-11-11,627,64,131
2025-11-12,692,107,206
2025-11-13,621,67,182
2025-11-14,583,58,105
2025-11-15,546,47,71
2025-11-16,538,23,69
2025-11-17,764,138,104
2025-11-18,774,89,111
2025-11-19,713,52,87
2025-11-20,816,243,56
2025-11-21,920,246,155
2025-11-22,892,148,212
2025-11-23,874,55,193
2025-11-24,934,112,269
2025-11-25,756,48,203
2025-11-26,905,85,282
2025-11-27,771,56,188
2025-11-28,824,62,237
2025-11-29,721,39,124
2025-11-30,807,91,100
2025-12-01,998,198,267
2025-12-02,782,67,220
2025-12-03,729,70,206
2025-12-04,744,45,188
2025-12-05,872,47,252
2025-12-06,751,22,130
2025-12-07,738,54,111
2025-12-08,772,74,170
2025-12-09,881,78,223
2025-12-10,801,73,178
2025-12-11,741,46,116
2025-12-12,727,45,141
2025-12-13,761,72,193
2025-12-14,695,54,173
2025-12-15,863,175,278
2025-12-16,1076,54,356
2025-12-17,1025,46,243
2025-12-18,1005,101,300
2025-12-19,839,34,358
2025-12-20,984,64,339
2025-12-21,1104,32,434
2025-12-22,1370,181,624
2025-12-23,1122,83,565
2025-12-24,929,35,516
2025-12-25,704,20,379
2025-12-26,910,34,420
2025-12-27,1027,53,502
2025-12-28,829,46,391
2025-12-29,921,57,515
2025-12-30,866,29,468
2025-12-31,755,15,372
